dataset,model,task_type,roc_auc,pr_auc,accuracy,f1_score,mcc
tox21,InterGNN,classification,0.700188900075487,0.2542835532601786,0.8966610742355897,0.10649308456326001,0.10491386324759733
tox21,GCN,classification,0.66586826232495,0.2212596812039462,0.895345478639039,0.08352677415177416,0.08762798801037845
tox21,GIN,classification,0.6933072518340492,0.2770446375665856,0.8899171792580739,0.16121116840622554,0.13661094668731058
