dataset,model,task_type,roc_auc,pr_auc,accuracy,f1_score,mcc
mutag,InterGNN,classification,0.5476190476190477,0.6974798679133044,0.75,0.8484848484848485,0.35043832202523123
mutag,GCN,classification,0.738095238095238,0.8943628635357957,0.7,0.8235294117647058,0.0
mutag,GIN,classification,0.8928571428571429,0.9584467120181404,0.7,0.8235294117647058,0.0
