dataset,model,task_type,roc_auc,pr_auc,accuracy,f1_score,mcc
mutag,InterGNN,classification,0.8452380952380952,0.9224507635221919,0.75,0.8,0.5044296328024895
mutag,GCN,classification,0.7738095238095237,0.9073403622275802,0.7,0.8125,0.14547859349066158
mutag,GIN,classification,0.8928571428571429,0.9602323115481008,0.7,0.8125,0.14547859349066158
